temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,year,month,day,day_of_week,aqi_lag_1,aqi_rolling_mean_3
32.9,68,998.9,21.3,0.0,64.30833333333334,18.33333333333333,189.9583333333333,9.604166666666666,5.158333333333333,76.41666666666667,2024,5,30,4,65.04166666666667,66.74999999999999
30.8,79,1000.7,20.2,0.0,87.16666666666667,20.016666666666666,186.125,8.583333333333334,5.858333333333333,73.41666666666667,2024,5,31,0,66.41666666666667,65.51388888888887
31.9,68,1000.0,17.0,0.0,204.3333333333333,42.78333333333333,214.25,10.254166666666666,5.408333333333334,86.45833333333333,2024,6,1,2,65.08333333333333,73.87499999999999
30.5,78,1003.1,18.2,0.0,56.02916666666667,16.895833333333332,171.625,7.808333333333334,5.629166666666666,63.79166666666666,2024,6,2,3,90.125,84.54166666666664
30.0,74,1004.5,19.8,0.0,78.12083333333334,15.933333333333332,156.54166666666666,7.0875,5.1125,61.5,2024,6,3,1,98.41666666666669,82.68055555555554
30.0,72,1004.2,26.3,0.0,71.67083333333333,19.041666666666668,137.375,5.45,3.804166666666666,63.5,2024,6,4,5,59.5,73.72222222222221
30.2,71,1004.0,28.9,0.0,72.64583333333333,20.104166666666668,139.125,5.241666666666666,3.4791666666666665,60.41666666666666,2024,6,5,6,63.25,63.13888888888888
30.4,74,1005.2,25.1,0.6,67.03750000000001,21.629166666666663,142.875,5.7125,3.758333333333333,59.958333333333336,2024,6,6,4,66.66666666666667,66.13888888888887
30.5,73,1004.4,21.3,0.0,71.77083333333333,19.5875,164.04166666666666,6.883333333333333,4.729166666666667,61.208333333333336,2024,6,7,0,68.5,68.24999999999999
30.4,74,1003.1,23.3,0.0,61.708333333333336,16.337500000000002,159.66666666666666,7.116666666666667,4.395833333333333,57.583333333333336,2024,6,8,2,69.58333333333333,67.11111111111109
30.4,75,1003.5,21.9,0.0,50.6,14.05,152.625,7.479166666666667,4.55,58.625,2024,6,9,3,63.25,62.81944444444442
30.4,76,1003.9,25.3,0.0,49.73333333333333,15.495833333333332,147.5,6.670833333333333,4.245833333333334,60.16666666666666,2024,6,10,1,55.625,58.0972222222222
30.5,73,1003.6,26.6,0.0,46.87083333333334,18.1875,154.125,6.1125,3.908333333333333,62.66666666666666,2024,6,11,5,55.41666666666666,57.180555555555536
30.7,71,1003.6,27.1,0.0,45.05833333333334,19.275,152.20833333333334,5.645833333333333,3.741666666666666,63.083333333333336,2024,6,12,6,60.5,59.91666666666665
30.9,71,1002.8,26.0,0.3,53.95416666666667,21.4375,155.04166666666666,5.533333333333334,3.725,64.95833333333333,2024,6,13,4,63.833333333333336,63.73611111111109
30.9,73,1001.3,22.9,0.4,66.97500000000001,21.35,145.375,5.820833333333333,4.054166666666666,62.875,2024,6,14,0,66.875,67.16666666666664
31.0,74,1001.1,17.8,0.4,70.71666666666667,19.59583333333333,158.75,7.35,5.104166666666667,62.29166666666666,2024,6,15,2,70.79166666666667,68.79166666666664
31.0,74,1001.8,20.3,0.1,70.3875,20.64583333333333,181.54166666666663,7.720833333333334,5.2375,65.33333333333333,2024,6,16,3,68.70833333333333,69.01388888888887
30.9,71,1002.0,19.3,0.5,97.54583333333332,19.933333333333334,175.95833333333334,7.454166666666667,5.1375,63.66666666666666,2024,6,17,1,67.54166666666667,67.40277777777776
31.2,70,1000.8,22.6,0.7,57.5375,15.8625,150.70833333333334,5.966666666666666,4.2125,58.75,2024,6,18,5,65.95833333333333,66.61111111111109
31.1,76,996.9,23.5,0.0,85.36666666666667,18.241666666666667,156.33333333333334,6.754166666666666,4.529166666666667,64.20833333333333,2024,6,19,6,66.33333333333333,64.36111111111109
31.0,81,994.5,23.3,0.0,134.475,30.5625,176.91666666666666,9.195833333333333,5.3625,72.70833333333333,2024,6,20,4,60.79166666666666,67.61111111111109
31.1,79,996.5,19.7,0.4,129.775,28.641666666666666,169.91666666666666,8.454166666666667,5.733333333333333,68.875,2024,6,21,0,75.70833333333333,75.66666666666664
31.4,76,998.7,14.9,0.0,189.03333333333333,34.15416666666667,210.25,12.05,10.875,78.83333333333333,2024,6,22,2,90.5,89.65277777777776
31.6,74,999.6,18.6,0.0,139.20000000000002,26.554166666666664,199.04166666666663,11.204166666666666,6.65,61.958333333333336,2024,6,23,3,102.75,99.81944444444441
32.3,71,997.4,20.7,0.0,127.99166666666667,27.879166666666663,194.8333333333333,11.045833333333334,6.308333333333334,63.79166666666666,2024,6,24,1,106.20833333333331,99.79166666666664
31.9,74,995.3,22.3,0.0,111.32916666666668,26.675,190.75,11.429166666666667,7.225,72.70833333333333,2024,6,25,5,90.41666666666669,92.88888888888887
31.5,75,995.8,15.7,0.0,115.29583333333332,25.804166666666664,204.5,12.683333333333332,8.4375,77.0,2024,6,26,6,82.04166666666667,84.81944444444444
32.3,71,996.6,15.8,0.0,122.10416666666669,25.604166666666668,209.04166666666663,12.695833333333333,7.666666666666667,66.45833333333333,2024,6,27,4,82.0,82.04166666666664
32.5,68,996.3,15.1,8.8,71.53750000000001,23.58333333333333,220.75,11.645833333333334,13.104166666666666,74.66666666666667,2024,6,28,0,82.08333333333333,81.26388888888886
32.1,72,996.2,18.2,0.0,34.208333333333336,15.7875,221.66666666666663,11.8125,13.354166666666666,71.83333333333333,2024,6,29,2,79.70833333333333,76.56944444444441
